nthreads n t Csize reps delta sign1_us pm s1sd sign2_us pm s2sd combine_us pm combsd tot_ms pm totsd
1 25 11 25 10 1961256 716353.9 ± 398.6 715065.0 ± 388.0 213.0 ± 1.6 1431.631 ± .55626
2 25 11 25 10 1961256 357120.4 ± 5046.9 360718.0 ± 343.4 212.1 ± 1.7 718.050 ± 5.05856
3 25 11 25 10 1961256 245519.2 ± 10991.6 248759.0 ± 10782.9 262.0 ± 80.5 494.540 ± 15.39781
4 25 11 25 10 1961256 179582.8 ± 3563.9 185381.5 ± 5156.9 212.8 ± 1.1 365.177 ± 6.26857
5 25 11 25 10 1961256 144784.4 ± 5017.0 149036.3 ± 5398.0 214.1 ± 6.7 294.034 ± 7.36944
6 25 11 25 10 1961256 121455.3 ± 6400.0 125368.0 ± 4497.8 280.5 ± 215.9 247.103 ± 7.82539
7 25 11 25 10 1961256 102695.3 ± 3315.2 107386.6 ± 3644.3 219.7 ± 24.0 210.301 ± 4.92666
8 25 11 25 10 1961256 89972.5 ± 3672.7 94574.1 ± 2629.9 211.5 ± 0.5 184.758 ± 4.51720
10 25 11 25 10 1961256 72437.3 ± 3590.5 76228.6 ± 1322.8 212.4 ± 4.5 148.878 ± 3.82642
12 25 11 25 10 1961256 60742.8 ± 3228.2 64609.3 ± 1727.4 211.5 ± 0.8 125.563 ± 3.66130
14 25 11 25 10 1961256 51752.6 ± 2798.8 55799.0 ± 1345.9 212.1 ± 1.5 107.763 ± 3.10559
16 25 11 25 10 1961256 45558.3 ± 2579.9 49532.3 ± 1070.9 212.9 ± 4.3 95.303 ± 2.79333
18 25 11 25 10 1961256 40842.4 ± 2534.4 45039.1 ± 2088.6 213.2 ± 0.8 86.094 ± 3.28411
20 25 11 25 10 1961256 37812.9 ± 2454.5 41833.3 ± 1045.4 281.1 ± 217.5 79.927 ± 2.67670
24 25 11 25 10 1961256 31869.2 ± 2039.7 36209.3 ± 2368.8 211.3 ± 0.7 68.289 ± 3.12595
28 25 11 25 10 1961256 28192.2 ± 1983.4 32277.8 ± 1253.4 280.8 ± 217.9 60.750 ± 2.35634
32 25 11 25 10 1961256 25657.9 ± 1753.6 29912.7 ± 1816.7 211.4 ± 0.5 55.782 ± 2.52497
