nthreads n t Csize reps delta sign1_us pm s1sd sign2_us pm s2sd combine_us pm combsd tot_ms pm totsd
1 23 11 23 10 646646 153121.9 ± 156.7 155236.5 ± 150.3 138.3 ± 2.8 308.496 ± .21714
2 23 11 23 10 646646 77929.1 ± 767.5 80147.5 ± 81.6 143.4 ± 8.4 158.220 ± .77187
3 23 11 23 10 646646 53917.1 ± 2332.8 55742.2 ± 2265.4 138.8 ± 3.7 109.798 ± 3.25176
4 23 11 23 10 646646 39124.4 ± 1233.1 41566.8 ± 1072.9 140.9 ± 4.7 80.832 ± 1.63452
