n t Csize reps delta sign1_us pm s1sd sign2_us pm s2sd combine_us pm combsd tot_ms pm totsd
9 5 9 10 70 42.8 ± 7.6 546.2 ± 104.7 129.1 ± 25.0 .718 ± .10791
11 5 11 10 210 67.6 ± 10.1 697.5 ± 103.4 109.1 ± 18.2 .874 ± .10547
13 5 13 10 495 130.5 ± 3.8 1025.3 ± 10.9 104.3 ± 1.2 1.260 ± .01160
15 5 15 10 1001 255.0 ± 4.9 1508.1 ± 12.3 113.2 ± 4.9 1.876 ± .01411
17 5 17 10 1820 445.6 ± 6.5 2087.9 ± 15.3 117.1 ± 0.7 2.650 ± .01663
19 5 19 10 3060 743.1 ± 8.3 2829.7 ± 19.7 125.6 ± 4.8 3.698 ± .02190
21 5 21 10 4845 1169.4 ± 11.8 3766.3 ± 21.2 131.3 ± 0.5 5.067 ± .02426
23 5 23 10 7315 1752.0 ± 19.3 4888.1 ± 21.9 139.7 ± 2.5 6.779 ± .02929
25 5 25 10 10626 2541.8 ± 17.8 6296.1 ± 23.5 142.4 ± 2.8 8.980 ± .02961
