nthreads n t Csize reps delta sign1_us pm s1sd sign2_us pm s2sd combine_us pm combsd tot_ms pm totsd
1 23 11 23 10 646646 234450.7 ± 277.4 237748.9 ± 282.3 204.6 ± 0.7 472.404 ± .39578
2 23 11 23 10 646646 117801.7 ± 639.4 120988.9 ± 355.8 203.4 ± 0.7 238.994 ± .73172
3 23 11 23 10 646646 81957.9 ± 5230.9 84073.2 ± 3680.8 204.2 ± 1.8 166.235 ± 6.39613
4 23 11 23 10 646646 59578.4 ± 2868.8 63641.3 ± 3301.8 202.7 ± 0.7 123.422 ± 4.37400
5 23 11 23 10 646646 48291.0 ± 2672.6 51479.6 ± 2661.3 203.2 ± 0.6 99.973 ± 3.77164
6 23 11 23 10 646646 40518.9 ± 2488.3 44501.8 ± 2891.7 203.6 ± 1.9 85.224 ± 3.81491
7 23 11 23 10 646646 34355.5 ± 1892.1 37911.3 ± 2141.4 204.2 ± 1.5 72.471 ± 2.85755
8 23 11 23 10 646646 30128.3 ± 1918.7 33871.8 ± 2090.6 271.8 ± 208.8 64.271 ± 2.84527
10 23 11 23 10 646646 24385.7 ± 1984.6 27533.5 ± 1754.5 203.3 ± 0.7 52.122 ± 2.64894
12 23 11 23 10 646646 20560.3 ± 1957.1 24321.4 ± 3002.5 270.5 ± 208.9 45.152 ± 3.59010
14 23 11 23 10 646646 17556.9 ± 1576.5 20901.7 ± 1512.7 204.7 ± 1.6 38.663 ± 2.18486
16 23 11 23 10 646646 15590.3 ± 1525.7 19090.6 ± 1885.0 204.4 ± 3.0 34.885 ± 2.42507
18 23 11 23 10 646646 14154.6 ± 1569.4 17328.9 ± 984.5 204.7 ± 1.3 31.688 ± 1.85263
20 23 11 23 10 646646 13052.7 ± 1306.3 16434.7 ± 1276.6 206.0 ± 6.8 29.693 ± 1.82651
24 23 11 23 10 646646 11156.4 ± 1185.5 14879.3 ± 1267.9 256.3 ± 137.0 26.292 ± 1.74119
28 23 11 23 10 646646 9761.2 ± 993.1 13247.7 ± 970.5 212.9 ± 30.6 23.221 ± 1.38890
32 23 11 23 10 646646 9069.4 ± 852.3 12940.8 ± 1410.8 246.9 ± 132.6 22.257 ± 1.65358
