n t Csize reps delta sign1_us pm s1sd sign2_us pm s2sd combine_us pm combsd tot_ms pm totsd
15 8 15 10 3432 831.9 ± 9.1 1715.7 ± 15.4 111.4 ± 1.0 2.659 ± .01791
17 8 17 10 11440 2733.2 ± 17.5 3983.3 ± 18.7 118.9 ± 1.4 6.835 ± .02564
19 8 19 10 31824 7611.9 ± 32.0 9255.6 ± 24.1 126.9 ± 6.0 16.994 ± .04050
21 8 21 10 77520 18532.6 ± 33.2 20686.3 ± 37.9 133.2 ± 3.8 39.352 ± .05052
23 8 23 10 170544 40573.9 ± 67.6 43185.0 ± 65.5 139.9 ± 3.3 83.898 ± .09418
25 8 25 10 346104 89800.2 ± 69.2 85615.3 ± 66.0 146.3 ± 3.4 175.561 ± .09568
