nthreads n t Csize reps delta sign1_us pm s1sd sign2_us pm s2sd combine_us pm combsd tot_ms pm totsd
15 21 11 21 10 184756 6379.2 ± 359.5 10047.9 ± 879.5 268.3 ± 39.2 16.695 ± .95094
15 23 11 23 10 646646 16534.5 ± 1793.8 19621.1 ± 1253.3 203.1 ± 0.6 36.358 ± 2.18825
15 25 11 25 10 1961256 48339.7 ± 2750.1 52442.4 ± 847.8 212.4 ± 0.8 100.994 ± 2.87781
