n t Csize reps delta sign1_us pm s1sd sign2_us pm s2sd combine_us pm combsd tot_ms pm totsd
7 4 7 10 20 33.6 ± 1.0 493.1 ± 16.7 169.5 ± 5.9 .696 ± .01773
9 4 9 10 56 37.4 ± 8.3 646.5 ± 144.1 127.5 ± 27.1 .811 ± .14686
11 4 11 10 120 47.1 ± 11.4 819.4 ± 160.1 109.1 ± 18.2 .975 ± .16153
13 4 13 10 220 69.2 ± 10.4 1105.8 ± 102.0 106.4 ± 7.2 1.281 ± .10278
15 4 15 10 364 99.4 ± 3.6 1456.0 ± 14.7 112.6 ± 1.7 1.668 ± .01522
17 4 17 10 560 145.7 ± 3.9 1926.1 ± 14.8 117.8 ± 0.6 2.189 ± .01531
19 4 19 10 816 207.2 ± 5.0 2436.0 ± 17.9 123.8 ± 0.6 2.767 ± .01859
21 4 21 10 1140 289.1 ± 4.9 3169.6 ± 17.9 130.7 ± 5.1 3.589 ± .01924
23 4 23 10 1540 379.3 ± 5.3 3690.5 ± 22.0 137.5 ± 2.6 4.207 ± .02277
25 4 25 10 2024 495.9 ± 10.1 4430.3 ± 25.3 141.7 ± 1.3 5.067 ± .02727
