n t Csize reps delta sign1_us pm s1sd sign2_us pm s2sd combine_us pm combsd tot_ms pm totsd
19 10 19 10 48620 12584.3 ± 25.1 12957.6 ± 25.4 125.1 ± 0.6 25.667 ± .03571
21 10 21 10 167960 40138.3 ± 54.0 41920.2 ± 61.7 133.0 ± 0.8 82.191 ± .08199
23 10 23 10 497420 118808.6 ± 86.4 121197.3 ± 86.5 142.3 ± 5.6 240.148 ± .12238
25 10 25 10 1307504 311312.3 ± 125.7 314139.7 ± 121.4 147.0 ± 6.2 625.599 ± .17486
