nthreads n t Csize reps delta sign1_us pm s1sd sign2_us pm s2sd combine_us pm combsd tot_ms pm totsd
1 21 11 21 10 184756 43796.3 ± 65.0 45453.6 ± 64.1 135.0 ± 8.3 89.384 ± .09166
2 21 11 21 10 184756 22444.1 ± 717.1 24001.6 ± 54.7 131.0 ± 3.0 46.576 ± .71918
3 21 11 21 10 184756 15578.0 ± 978.1 17080.3 ± 673.6 132.9 ± 5.0 32.791 ± 1.18762
4 21 11 21 10 184756 11342.2 ± 1000.5 12939.8 ± 107.7 131.5 ± 1.3 24.413 ± 1.00628
