n t Csize reps delta sign1_us pm s1sd sign2_us pm s2sd combine_us pm combsd tot_ms pm totsd
13 7 13 10 924 231.3 ± 3.5 916.1 ± 11.3 105.0 ± 2.2 1.252 ± .01203
15 7 15 10 3003 726.6 ± 8.2 1728.7 ± 14.5 111.5 ± 1.0 2.566 ± .01668
17 7 17 10 8008 1922.2 ± 14.5 3303.3 ± 16.6 120.7 ± 3.5 5.346 ± .02231
19 7 19 10 18564 4493.6 ± 19.6 6372.4 ± 20.0 126.1 ± 3.1 10.992 ± .02817
21 7 21 10 38760 9323.3 ± 26.1 11607.0 ± 32.1 131.9 ± 0.6 21.062 ± .04137
23 7 23 10 74613 18036.1 ± 43.7 20847.9 ± 48.6 139.1 ± 1.9 39.023 ± .06538
25 7 25 10 134596 32463.9 ± 48.8 35508.7 ± 48.8 144.2 ± 1.1 68.116 ± .06902
