n t Csize reps delta sign1_us pm s1sd sign2_us pm s2sd combine_us pm combsd tot_ms pm totsd
23 12 23 10 705432 183377.4 ± 137.8 172026.5 ± 116.9 140.5 ± 3.7 355.544 ± .18074
25 12 25 10 2496144 594424.3 ± 205.0 596831.1 ± 192.6 145.8 ± 2.3 1191.401 ± .28129
