n t Csize reps delta sign1_us pm s1sd sign2_us pm s2sd combine_us pm combsd tot_ms pm totsd
11 6 11 10 252 73.6 ± 6.2 584.8 ± 47.0 102.5 ± 10.9 .760 ± .04864
13 6 13 10 792 200.5 ± 4.4 990.9 ± 10.2 105.1 ± 2.0 1.296 ± .01128
15 6 15 10 2002 489.5 ± 5.8 1609.1 ± 13.4 112.7 ± 3.1 2.211 ± .01492
17 6 17 10 4368 1052.5 ± 10.2 2582.6 ± 16.7 119.3 ± 1.5 3.754 ± .01962
19 6 19 10 8568 2050.6 ± 14.5 3995.8 ± 19.2 129.3 ± 3.9 6.175 ± .02437
21 6 21 10 15504 3715.0 ± 20.0 6147.1 ± 21.1 131.1 ± 3.7 9.993 ± .02930
23 6 23 10 26334 6287.3 ± 20.3 9260.5 ± 25.8 137.2 ± 2.1 15.685 ± .03289
25 6 25 10 42504 10131.9 ± 28.3 13698.8 ± 35.4 144.5 ± 5.5 23.975 ± .04565
