n t Csize reps delta sign1_us pm s1sd sign2_us pm s2sd combine_us pm combsd tot_ms pm totsd
17 9 17 10 12870 3085.4 ± 17.8 4204.6 ± 19.1 117.8 ± 1.0 7.407 ± .02612
19 9 19 10 43758 10445.1 ± 26.1 11971.8 ± 29.0 125.9 ± 1.3 22.542 ± .03903
21 9 21 10 125970 30609.3 ± 38.1 34679.2 ± 42.5 132.0 ± 1.5 65.420 ± .05709
23 9 23 10 319770 76408.0 ± 65.5 78807.8 ± 65.9 141.8 ± 4.1 155.357 ± .09300
25 9 25 10 735471 175693.6 ± 95.9 178590.1 ± 96.0 146.1 ± 3.8 354.429 ± .13574
