n t Csize reps delta sign1_us pm s1sd sign2_us pm s2sd combine_us pm combsd tot_ms pm totsd
5 3 5 10 6 22.6 ± 0.6 260.1 ± 9.6 135.4 ± 7.0 .418 ± .01189
7 3 7 10 15 26.0 ± 2.7 507.6 ± 27.8 139.9 ± 7.8 .673 ± .02899
9 3 9 10 28 18.4 ± 1.4 524.0 ± 9.3 91.8 ± 0.6 .634 ± .00942
11 3 11 10 45 27.9 ± 7.9 957.5 ± 237.8 112.1 ± 23.2 1.097 ± .23905
13 3 13 10 66 27.8 ± 2.1 1145.1 ± 12.5 105.5 ± 2.3 1.278 ± .01288
15 3 15 10 91 39.0 ± 12.1 1663.1 ± 398.8 117.9 ± 18.2 1.820 ± .39939
17 3 17 10 120 40.4 ± 1.8 1948.9 ± 13.7 117.8 ± 2.2 2.107 ± .01399
19 3 19 10 153 48.4 ± 1.7 2425.2 ± 18.2 124.3 ± 2.4 2.597 ± .01843
21 3 21 10 190 59.4 ± 6.3 2959.0 ± 48.0 130.0 ± 1.6 3.148 ± .04843
23 3 23 10 231 67.0 ± 2.2 3550.3 ± 23.3 137.3 ± 4.0 3.754 ± .02374
25 3 25 10 276 78.3 ± 3.2 4188.8 ± 23.0 141.6 ± 1.3 4.408 ± .02325
