nthreads n t Csize reps delta sign1_us pm s1sd sign2_us pm s2sd combine_us pm combsd tot_ms pm totsd
5 21 11 21 10 184756 14159.4 ± 1169.8 16859.0 ± 2075.9 195.6 ± 5.7 31.214 ± 2.38281
5 23 11 23 10 646646 48291.0 ± 2672.6 51479.6 ± 2661.3 203.2 ± 0.6 99.973 ± 3.77164
5 25 11 25 10 1961256 144784.4 ± 5017.0 149036.3 ± 5398.0 214.1 ± 6.7 294.034 ± 7.36944
