n t Csize reps delta sign1_us pm s1sd sign2_us pm s2sd combine_us pm combsd tot_ms pm totsd
21 11 21 10 184756 43993.7 ± 69.0 45641.3 ± 66.4 132.4 ± 3.1 89.767 ± .09581
23 11 23 10 646646 153891.5 ± 129.5 155987.0 ± 126.5 138.3 ± 1.1 310.016 ± .18103
25 11 25 10 1961256 467006.3 ± 188.3 469685.7 ± 191.6 146.3 ± 4.2 936.838 ± .26867
