nthreads n t Csize reps delta sign1_us pm s1sd sign2_us pm s2sd combine_us pm combsd tot_ms pm totsd
1 25 11 25 10 1961256 464452.4 ± 353.0 467691.5 ± 379.0 144.3 ± 3.9 932.288 ± .51794
2 25 11 25 10 1961256 236258.8 ± 1522.7 238872.5 ± 172.1 145.7 ± 6.9 475.277 ± 1.53241
3 25 11 25 10 1961256 164273.7 ± 7094.0 167901.0 ± 6947.3 145.5 ± 3.1 332.320 ± 9.92924
4 25 11 25 10 1961256 126030.6 ± 5354.7 129282.6 ± 4821.8 167.2 ± 7.8 255.480 ± 7.20573
